Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",272.034000,-122.326400,-90.000000,top
"C2","100u","C_Elec_5x5.8",267.843000,-131.826000,180.000000,top
"C3","100n","C_0805_2012Metric",191.681100,-112.194100,90.000000,top
"C4","100n","C_0805_2012Metric",245.322000,-124.014000,90.000000,top
"C5","100u","C_Elec_5x5.8",240.172000,-125.189000,-90.000000,top
"C6","22u","C_Elec_5x5.8",247.942100,-153.675100,-90.000000,top
"C7","22u","C_Elec_5x5.8",198.500000,-153.387500,90.000000,top
"C8","1n","C_0805_2012Metric",108.613438,-127.658680,-90.000000,top
"C9","1n","C_0805_2012Metric",120.725938,-127.646180,-90.000000,top
"C10","22u","C_Elec_5x5.8",267.817600,-154.838400,0.000000,top
"C11","100n","C_0805_2012Metric",114.188438,-134.458680,90.000000,top
"C12","100n","C_0805_2012Metric",146.100938,-133.371180,180.000000,top
"C14","100u","C_Elec_5x5.8",166.705938,-68.118980,-90.000000,top
"C15","100n","C_0805_2012Metric",259.080000,-101.981000,-90.000000,top
"C16","100n","C_0805_2012Metric",250.190000,-102.362000,90.000000,top
"C17","100n","C_0805_2012Metric",267.817600,-150.368000,0.000000,top
"C18","100n","C_0805_2012Metric",168.713438,-62.758680,-90.000000,top
"C19","100n","C_0805_2012Metric",243.205000,-154.099500,-90.000000,top
"C20","100n","C_0805_2012Metric",198.526400,-79.829900,90.000000,top
"C21","10u","C_Elec_4x5.8",192.227200,-78.516500,90.000000,top
"C22","2.2u","C_Elec_5x5.8",203.550000,-95.750000,0.000000,top
"C23","10u","C_Elec_4x5.8",194.564000,-89.560400,90.000000,top
"C24","2.2u","C_Elec_5x5.8",188.061600,-86.461600,-90.000000,top
"C25","100n","C_0805_2012Metric",202.742800,-77.774800,180.000000,top
"C26","100n","C_0805_2012Metric",198.678800,-88.059500,-90.000000,top
"C27","100n","C_0805_2012Metric",255.117600,-122.608100,90.000000,top
"C28","100n","C_0805_2012Metric",246.761000,-104.648000,90.000000,top
"C29","100n","C_0805_2012Metric",246.761000,-100.457000,-90.000000,top
"C30","100p","C_0805_2012Metric",264.718800,-104.698800,180.000000,top
"C31","100p","C_0805_2012Metric",269.659100,-93.332300,0.000000,top
"C32","1n","C_0805_2012Metric",116.299638,-115.182879,-90.000000,top
"C33","1n","C_0805_2012Metric",113.962838,-115.132080,-90.000000,top
"C34","1n","C_0805_2012Metric",119.195238,-100.437012,90.000000,top
"C35","1n","C_0805_2012Metric",114.216838,-100.418546,90.000000,top
"C36","100n","C_0805_2012Metric",121.688438,-107.058680,-90.000000,top
"C37","100n","C_0805_2012Metric",165.725938,-108.296180,180.000000,top
"C38","1n","C_0805_2012Metric",158.124972,-115.233680,-90.000000,top
"C39","100n","C_0805_2012Metric",149.900938,-79.746180,0.000000,top
"C40","1n","C_0805_2012Metric",160.478705,-115.289078,-90.000000,top
"C41","1n","C_0805_2012Metric",160.580305,-100.738746,90.000000,top
"C42","1n","C_0805_2012Metric",158.023372,-100.721813,90.000000,top
"C43","100n","C_0805_2012Metric",146.250938,-79.746180,180.000000,top
"C44","1n","C_0805_2012Metric",236.829600,-79.413100,-90.000000,top
"C45","1n","C_0805_2012Metric",236.639100,-87.350600,90.000000,top
"C46","100n","C_0805_2012Metric",172.001838,-145.830280,0.000000,top
"C47","1n","C_0805_2012Metric",256.514600,-87.350600,90.000000,top
"C48","1n","C_0805_2012Metric",256.578100,-79.413100,-90.000000,top
"C51","100n","C_0805_2012Metric",128.000938,-79.496180,0.000000,top
"C52","100n","C_0805_2012Metric",124.225938,-79.496180,180.000000,top
"D1","STPS1L30U","D_SMB",235.759100,-147.104100,180.000000,top
"D2","STPS1L30U","D_SMB",207.937100,-153.127600,90.000000,top
"D3","1N4148","D_0805_2012Metric",194.945000,-129.794000,0.000000,top
"IC1","741G17DBV","SOT-23-5_HandSoldering",203.525000,-121.200000,0.000000,top
"J5","Conn_01x18_Male","PinHeader_2x09_P2.54mm_Vertical_SMD",97.813838,-69.947780,180.000000,top
"J6","Conn_01x10_Male","PinHeader_2x05_P2.54mm_Vertical_SMD",137.255589,-99.671180,0.000000,top
"J7","Conn_01x16_Male","PinHeader_2x08_P2.54mm_Vertical_SMD",137.255589,-118.821180,0.000000,top
"J8","Conn_01x16_Female","PinSocket_2x08_P2.54mm_Vertical_SMD",230.558100,-118.825000,0.000000,top
"J9","Conn_01x18_Female","PinSocket_2x09_P2.54mm_Vertical_SMD",269.996600,-69.951600,180.000000,top
"J10","Conn_01x10_Female","PinSocket_2x05_P2.54mm_Vertical_SMD",230.558100,-99.675000,0.000000,top
"L1","33u","L_1206_3216Metric",243.370100,-144.688100,90.000000,top
"L2","33u","L_0805_2012Metric",260.123700,-129.235200,180.000000,top
"L3","BLM21PG221SN1D","L_0805_2012Metric",231.163100,-158.788100,180.000000,top
"L4","BLM21PG221SN1D","L_0805_2012Metric",228.716600,-148.882100,180.000000,top
"L5","BLM21PG221SN1D","L_0805_2012Metric",213.715600,-153.375600,90.000000,top
"L6","33u","L_0805_2012Metric",247.650000,-124.002800,90.000000,top
"L7","BLM21PG221SN1D","L_0805_2012Metric",138.138438,-57.546180,0.000000,top
"L8","BLM21AG102SN1D","L_0805_2012Metric",171.811338,-150.671280,-90.000000,top
"L9","BLM21AG102SN1D","L_0805_2012Metric",178.605838,-150.704780,90.000000,top
"L10","BLM21AG102SN1D","L_0805_2012Metric",167.760038,-155.975280,-90.000000,top
"L11","BLM21AG102SN1D","L_0805_2012Metric",163.312738,-151.532580,0.000000,top
"LEFT1","50k","Potentiometer_ACP_CA6-VSMD_Vertical_Hole",269.824200,-109.588300,0.000000,top
"Q1","BC847","SOT-23",164.488438,-139.171180,180.000000,top
"R1","220","R_0805_2012Metric",204.368400,-127.812800,0.000000,top
"R2","1k","R_0805_2012Metric",249.986800,-124.002800,-90.000000,top
"R3","1k","R_0805_2012Metric",194.221100,-112.227600,-90.000000,top
"R4","470","R_0805_2012Metric",196.824600,-112.194100,90.000000,top
"R5","4.7k","R_0805_2012Metric",129.288438,-85.896180,-90.000000,top
"R7","2.2k","R_0805_2012Metric",243.713000,-107.442000,0.000000,top
"R8","2.2k","R_0805_2012Metric",243.713000,-97.409000,0.000000,top
"R9","10k","R_0805_2012Metric",249.809000,-107.442000,0.000000,top
"R10","10k","R_0805_2012Metric",249.809000,-97.409000,0.000000,top
"R11","200k","R_0805_2012Metric",126.273372,-119.223780,-90.000000,top
"R12","100k","R_0805_2012Metric",130.988438,-138.646180,-90.000000,top
"R13","200k","R_0805_2012Metric",104.310838,-119.223780,-90.000000,top
"R14","100k","R_0805_2012Metric",142.088438,-138.983680,-90.000000,top
"R15","200k","R_0805_2012Metric",126.188438,-98.383680,-90.000000,top
"R16","100k","R_0805_2012Metric",134.219338,-152.736780,-90.000000,top
"R17","200k","R_0805_2012Metric",104.310838,-98.983680,-90.000000,top
"R18","100k","R_0805_2012Metric",122.916338,-152.736780,-90.000000,top
"R19","66.5k","R_0805_2012Metric",118.636438,-115.165946,-90.000000,top
"R20","66.5k","R_0805_2012Metric",111.626038,-115.149013,-90.000000,top
