Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C8","1n","C_0805_2012Metric",108.613438,-127.658680,-90.000000,top
"C9","1n","C_0805_2012Metric",120.725938,-127.646180,-90.000000,top
"C11","100n","C_0805_2012Metric",114.188438,-134.458680,90.000000,top
"C14","100u","C_Elec_5x5.8",166.705938,-68.118980,-90.000000,top
"C18","100n","C_0805_2012Metric",168.713438,-62.758680,-90.000000,top
"C32","1n","C_0805_2012Metric",116.299638,-115.182879,-90.000000,top
"C33","1n","C_0805_2012Metric",113.962838,-115.132080,-90.000000,top
"C34","1n","C_0805_2012Metric",119.195238,-100.437012,90.000000,top
"C35","1n","C_0805_2012Metric",114.216838,-100.418546,90.000000,top
"C36","100n","C_0805_2012Metric",121.688438,-107.058680,-90.000000,top
"C37","100n","C_0805_2012Metric",165.725938,-108.296180,180.000000,top
"C38","1n","C_0805_2012Metric",158.124972,-115.233680,-90.000000,top
"C39","100n","C_0805_2012Metric",149.900938,-79.746180,0.000000,top
"C40","1n","C_0805_2012Metric",160.478705,-115.289078,-90.000000,top
"C41","1n","C_0805_2012Metric",160.580305,-100.738746,90.000000,top
"C42","1n","C_0805_2012Metric",158.023372,-100.721813,90.000000,top
"C43","100n","C_0805_2012Metric",146.250938,-79.746180,180.000000,top
"C45","100n","C_0805_2012Metric",129.286000,-86.461600,-90.000000,top
"C46","100n","C_0805_2012Metric",172.001838,-145.830280,0.000000,top
"C51","100n","C_0805_2012Metric",128.000938,-79.496180,0.000000,top
"C52","100n","C_0805_2012Metric",124.225938,-79.496180,180.000000,top
"J5","Conn_01x18_Male","PinHeader_2x09_P2.54mm_Vertical_SMD",97.813838,-69.947780,180.000000,top
"J6","Conn_01x10_Male","PinHeader_2x05_P2.54mm_Vertical_SMD",137.255589,-99.671180,0.000000,top
"J7","Conn_01x16_Male","PinHeader_2x08_P2.54mm_Vertical_SMD",137.255589,-118.821180,0.000000,top
"L7","BLM21PG221SN1D","L_0805_2012Metric",138.138438,-57.546180,0.000000,top
"L8","BLM21AG102SN1D","L_0805_2012Metric",171.811338,-150.671280,-90.000000,top
"L9","BLM21AG102SN1D","L_0805_2012Metric",178.605838,-150.704780,90.000000,top
"L10","BLM21AG102SN1D","L_0805_2012Metric",167.760038,-155.975280,-90.000000,top
"L11","BLM21AG102SN1D","L_0805_2012Metric",164.967500,-153.030000,180.000000,top
"Q1","BC847","SOT-23",164.488438,-139.171180,180.000000,top
"R5","1k","R_0805_2012Metric",154.275000,-131.925000,-90.000000,top
"R11","200k","R_0805_2012Metric",126.273372,-119.223780,-90.000000,top
"R12","100k","R_0805_2012Metric",130.988438,-138.646180,-90.000000,top
"R13","200k","R_0805_2012Metric",104.310838,-119.223780,-90.000000,top
"R14","100k","R_0805_2012Metric",142.088438,-138.983680,-90.000000,top
"R15","200k","R_0805_2012Metric",126.188438,-98.383680,-90.000000,top
"R16","100k","R_0805_2012Metric",134.219338,-152.736780,-90.000000,top
"R17","200k","R_0805_2012Metric",104.310838,-98.983680,-90.000000,top
"R18","100k","R_0805_2012Metric",122.916338,-152.736780,-90.000000,top
"R19","66.5k","R_0805_2012Metric",118.636438,-115.165946,-90.000000,top
"R20","66.5k","R_0805_2012Metric",111.626038,-115.149013,-90.000000,top
"R21","66.5k","R_0805_2012Metric",116.706038,-100.455478,90.000000,top
"R22","66.5k","R_0805_2012Metric",111.727638,-100.400080,90.000000,top
"R23","200k","R_0805_2012Metric",148.235905,-119.223780,-90.000000,top
"R24","100k","R_0805_2012Metric",111.994338,-152.736780,-90.000000,top
"R25","200k","R_0805_2012Metric",170.198438,-119.223780,-90.000000,top
"R26","200k","R_0805_2012Metric",170.413438,-98.558680,-90.000000,top
"R27","100k","R_0805_2012Metric",156.507838,-152.736780,-90.000000,top
"R28","200k","R_0805_2012Metric",148.238438,-98.533680,-90.000000,top
"R29","100k","R_0805_2012Metric",145.204838,-152.736780,-90.000000,top
"R30","100","R_0805_2012Metric",161.400938,-63.846180,0.000000,top
